num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
551,39,31,77,4,9,61,772.5
545,35,27,79,10,9,67,285.25
604,68,50,125,20,9,65,3801.0
578,52,35,110,18,9,39,101.66666666666667
566,46,33,98,12,9,69,22.333333333333332
575,44,30,102,20,9,35,1567.0
563,37,31,81,6,9,69,3831.8
561,34,28,92,8,9,41,18.666666666666668
569,47,33,87,12,9,45,2271.0
568,52,38,98,14,9,71,226.4
563,35,28,92,8,9,29,208.8
557,41,34,88,10,9,43,17.333333333333332
573,53,36,99,14,9,47,2019.6666666666667
582,47,38,105,8,9,35,16.666666666666668
594,55,44,100,4,9,67,1568.2
576,45,35,86,6,9,39,25.333333333333332
577,48,35,89,6,9,51,2959.3333333333335
595,53,38,122,16,9,49,19.666666666666668
578,45,28,94,14,9,41,1583.8
556,35,26,83,10,9,55,1578.0
576,55,39,108,16,9,37,20.333333333333332
611,70,50,135,20,9,53,2249.0
560,39,29,86,10,9,55,435.0
579,46,29,102,16,9,31,216.0
574,52,41,95,2,9,47,21.333333333333332
595,62,42,118,20,9,59,3298.0
572,51,38,97,12,9,33,621.0
589,52,38,111,8,9,59,203.2
573,40,30,98,14,9,65,1587.2
550,31,22,82,12,9,63,4796.75
574,49,36,91,6,9,63,283.0
607,68,49,125,18,9,69,206.0
550,31,25,71,4,9,49,17.333333333333332
584,54,40,95,14,9,71,4772.25
590,49,37,119,16,9,43,218.4
560,31,21,94,10,9,25,222.6
597,57,43,127,20,9,77,18.0
570,39,27,95,18,9,45,4908.75
576,48,36,88,4,9,49,406.2
561,43,31,94,8,9,29,204.6
597,58,43,120,20,9,47,20.666666666666668
557,32,26,91,6,9,21,2635.6666666666665
557,43,31,79,10,9,73,26.333333333333332
590,46,33,100,12,9,69,2114.75
562,41,29,90,14,9,23,254.0
551,39,27,98,16,9,37,1574.2
578,53,32,102,20,9,53,275.6666666666667
600,57,40,122,18,9,57,5163.0
589,56,44,112,12,9,69,359.0
583,51,37,104,8,9,41,220.4
591,67,47,116,18,9,39,563.8
571,45,34,87,2,9,23,1706.3333333333333
587,59,44,93,8,9,65,623.6666666666666
573,51,41,104,12,9,75,1983.0
566,44,32,94,16,9,55,208.2
551,42,31,85,12,9,33,20.0
572,42,32,100,10,9,43,2784.75
565,38,30,81,8,9,53,213.8
547,44,31,91,18,9,39,17.333333333333332
555,29,20,77,6,9,33,1568.6
591,54,39,114,14,9,47,535.5
573,45,36,93,10,9,67,4040.6666666666665
575,49,37,111,16,9,43,694.25
561,40,34,79,4,9,43,18.0
566,51,34,101,14,9,23,1574.6
581,36,29,86,2,9,41,20.333333333333332
561,28,20,80,8,9,53,3083.75
547,37,29,81,10,9,67,1663.0
572,40,29,95,18,9,57,207.2
585,50,37,111,20,9,71,19.0
554,53,32,91,20,9,47,3652.0
579,61,45,107,16,9,73,1591.6
532,21,17,61,2,9,23,210.4
590,48,36,113,12,9,63,16.0
591,50,37,119,14,9,77,1995.75
562,31,28,85,2,9,59,5471.0
557,41,29,82,16,9,67,1879.3333333333333
549,34,29,85,4,9,31,21.333333333333332
591,52,38,118,14,9,47,1579.4
592,55,43,113,16,9,61,22.0
567,37,29,95,4,9,37,1305.6666666666667
592,54,41,92,4,9,61,1355.0
572,53,39,98,10,9,25,19.333333333333332
564,38,26,88,12,9,33,1591.6
576,45,33,86,6,9,57,1266.6666666666667
572,40,28,93,10,9,31,2511.4
579,49,34,101,12,9,39,958.2
596,62,43,109,18,9,63,233.0
551,38,22,85,20,9,29,292.25
577,42,34,100,12,9,63,419.3333333333333
594,52,37,116,14,9,47,1996.6
