num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
11795,4925,3730,9913,1852,9,3776,192298,1.96,0.96,2.56,2,889
9015,4390,3835,6992,726,9,2656,173670,1.53,0.42,2.53,2,982
9411,4104,2906,5406,394,9,608,157831,0.39,0.25,2.6,2,939
7596,3675,2776,6604,1546,9,2844,139041,2.05,1.11,2.64,2,927
9122,3355,2710,5568,446,9,804,138413,0.58,0.32,2.42,2,1033
12009,5970,4438,9519,1546,9,3486,217510,1.6,0.71,2.74,2,910
7004,2610,1759,5935,1500,9,2382,106725,2.23,1.41,2.45,2,940
10801,4364,3208,8363,1556,9,2770,167338,1.66,0.93,2.61,2,941
6954,2578,2125,4738,376,9,1240,117093,1.06,0.32,2.2,2,1027
8950,3113,2407,6986,1070,9,2438,140439,1.74,0.76,2.22,2,976
8307,2775,2346,4365,50,9,68,124515,0.05,0.04,2.23,2,876
12355,5329,3951,9102,776,9,2774,209483,1.32,0.37,2.54,2,940
5330,2245,1912,3149,90,9,550,87598,0.63,0.1,2.56,2,828
7676,2685,2032,5608,484,9,1546,116682,1.32,0.41,2.3,2,849
9835,4149,3560,7471,646,9,2490,170377,1.46,0.38,2.44,2,992
11004,4763,3471,6892,598,9,1330,172625,0.77,0.35,2.76,2,869
6016,2154,1791,4072,636,9,1198,94509,1.27,0.67,2.28,2,923
7734,3276,2476,5402,970,9,1582,124896,1.27,0.78,2.62,2,1032
12050,4641,3775,8534,314,9,2306,199998,1.15,0.16,2.32,2,885
9829,5010,3101,8674,1896,9,3672,165029,2.23,1.15,3.04,2,854
9522,4077,2740,6616,1158,9,1666,151874,1.1,0.76,2.68,2,912
12631,5813,4496,9931,1420,9,3416,218027,1.57,0.65,2.67,2,881
8823,4026,3208,4921,80,9,466,144240,0.32,0.06,2.79,2,1107
8082,4043,3404,5832,456,9,1960,155834,1.26,0.29,2.59,2,848
11833,6102,4449,9027,1730,9,3124,211549,1.48,0.82,2.88,2,979
10511,3783,3254,6847,424,9,1442,166962,0.86,0.25,2.27,2,1007
7747,3431,2295,5957,1900,9,1986,117165,1.7,1.62,2.93,2,989
11036,4115,3628,7780,836,9,2200,188576,1.17,0.44,2.18,2,945
6645,3645,2311,5354,1832,9,2122,120623,1.76,1.52,3.02,2,888
5152,2084,1580,3592,410,9,1016,84615,1.2,0.48,2.46,2,899
8370,3743,2810,5905,1194,9,1850,139694,1.32,0.85,2.68,2,874
9510,4200,3297,8214,1666,9,3368,166846,2.02,1.0,2.52,2,885
8876,3213,2320,5974,972,9,1444,125572,1.15,0.77,2.56,2,910
6954,2123,1608,5380,606,9,1796,99334,1.81,0.61,2.14,2,968
9038,4197,3162,5517,776,9,916,153030,0.6,0.51,2.74,2,963
9071,4143,2952,5310,532,9,870,150942,0.58,0.35,2.74,2,945
10412,4646,3715,8727,1828,9,3462,186506,1.86,0.98,2.49,2,863
8465,4260,3305,6006,472,9,1972,150984,1.31,0.31,2.82,2,839
5587,2941,2157,3682,474,9,984,100732,0.98,0.47,2.92,2,1007
7972,3220,2965,4668,16,9,748,141656,0.53,0.01,2.27,2,1010
10091,4833,3422,8756,1710,9,3542,170763,2.07,1.0,2.83,2,1074
10570,5126,3436,8445,1858,9,3056,180008,1.7,1.03,2.85,2,1023
8751,4668,3356,6823,1024,9,2494,166107,1.5,0.62,2.81,2,911
9525,4225,3418,5210,60,9,544,166066,0.33,0.04,2.54,2,867
7349,2062,1539,5000,240,9,1124,96474,1.17,0.25,2.14,2,972
8977,2639,2235,5577,500,9,904,133974,0.67,0.37,1.97,2,1024
8646,3680,2610,6564,1450,9,2034,141588,1.44,1.02,2.6,2,1014
9884,4777,3476,8637,1630,9,3616,169136,2.14,0.96,2.82,2,1112
10354,5219,3861,6338,738,9,1152,189566,0.61,0.39,2.75,2,896
9278,2672,2204,6195,352,9,1286,126195,1.02,0.28,2.12,2,907
6494,3276,2172,5007,934,9,1794,110996,1.62,0.84,2.95,2,1083
8237,3682,2548,5285,542,9,1224,127239,0.96,0.43,2.89,2,987
10572,4035,3217,7358,194,9,1800,164242,1.1,0.12,2.46,2,1014
8269,3628,2721,5230,752,9,1160,138928,0.83,0.54,2.61,2,930
7134,2908,2511,4512,428,9,1040,122924,0.85,0.35,2.37,2,853
7947,4455,2912,7069,1486,9,3074,142754,2.15,1.04,3.12,2,907
5511,2177,1640,3025,196,9,396,91687,0.43,0.21,2.37,2,951
8487,2681,2280,5960,678,9,1474,136635,1.08,0.5,1.96,2,995
7053,3547,2818,4705,760,9,1366,124456,1.1,0.61,2.85,2,863
12503,4577,3700,9177,782,9,2666,190222,1.4,0.41,2.41,2,1043
8482,4487,3330,7039,1640,9,2984,159135,1.88,1.03,2.82,2,887
6589,3979,2577,4632,1358,9,1546,117121,1.32,1.16,3.4,2,791
9282,2726,2704,6585,24,9,1774,142079,1.25,0.02,1.92,2,949
5906,3771,2158,4292,1298,9,1396,103529,1.35,1.25,3.64,2,954
9546,4081,2833,7684,1828,9,2778,157723,1.76,1.16,2.59,2,1129
9834,4516,3447,8613,1600,9,3562,170571,2.09,0.94,2.65,2,1100
11209,5647,3932,7564,1798,9,1852,192689,0.96,0.93,2.93,2,881
11009,4895,4208,8368,1276,9,2966,202121,1.47,0.63,2.42,2,856
10999,4695,3926,8684,1378,9,3170,191827,1.65,0.72,2.45,2,971
7497,3748,2406,5774,1048,9,2132,130250,1.64,0.8,2.88,2,806
8718,3986,2667,6960,1970,9,2492,145069,1.72,1.36,2.75,2,1050
