num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
298,19,12,55,8,5,53,1485.5
320,32,15,76,16,5,61,32
311,15,11,77,4,17,19,179
299,27,13,69,16,13,31,247
296,21,14,60,10,5,19,1887
315,18,9,76,2,21,23,23
346,31,14,93,12,3,75,1197.25
331,23,9,92,8,11,23,239
317,17,8,87,8,19,29,383
305,22,8,70,12,9,39,2360
316,28,13,87,18,17,51,618
296,16,10,51,2,7,29,378
325,32,14,89,20,7,59,2111.5
300,19,7,64,12,7,57,24
317,20,7,69,4,13,61,164
355,35,18,114,16,19,67,1331
330,34,18,81,16,3,73,36
316,32,16,77,16,9,43,66
313,26,16,69,12,5,57,1527
331,30,17,89,14,11,59,2989.5
312,17,6,67,6,9,69,176
307,16,6,66,2,15,29,62
279,11,7,46,4,11,19,3831
301,26,11,68,16,3,25,1098.5
304,33,19,67,18,9,45,30
336,38,19,99,20,17,59,1114
304,20,10,63,10,3,49,2169
310,24,14,76,16,5,49,423.5
344,25,13,118,20,21,83,23
307,15,3,61,2,11,53,2961
311,21,11,72,10,9,49,431.5
313,19,13,68,6,5,45,1393
325,25,12,86,12,11,51,1216.25
297,14,8,63,2,21,17,23
308,15,6,81,10,21,49,2053
325,28,17,88,16,7,49,183
333,29,18,93,16,13,79,21
302,24,14,67,12,11,33,2627
303,11,3,61,2,13,59,2277.5
301,17,7,74,12,19,51,796
262,6,3,29,2,5,11,193
306,15,6,68,4,17,43,2379
330,12,8,93,2,19,41,34
322,31,19,85,20,3,59,993.5
306,21,12,61,8,3,47,2030
285,7,2,48,2,7,35,22
300,23,9,74,16,11,25,25
307,16,5,62,6,5,63,1431
342,32,14,101,20,3,77,176
325,25,9,94,14,19,47,106
341,25,10,110,14,17,41,258
328,31,11,102,18,21,27,2441
347,29,11,106,14,11,59,326
309,24,13,64,10,7,61,67
315,11,8,76,2,9,29,3847
320,26,9,76,14,5,77,106
320,35,15,74,18,3,69,1061.5
342,29,10,107,16,21,73,1559
325,19,8,96,10,15,19,32
290,16,5,53,6,11,33,23
322,24,11,82,12,15,75,26
327,25,15,88,14,13,77,1879
344,20,6,107,10,19,73,27
299,14,5,53,4,7,67,1020
326,27,11,88,12,13,39,2168.5
317,27,14,85,16,9,31,516
330,23,13,87,10,11,67,258
342,34,14,107,18,19,57,1373
328,19,9,96,6,21,15,1892
345,38,18,102,18,11,57,1138
335,27,16,96,12,19,63,383.5
317,22,11,74,4,15,25,3586
331,20,7,84,8,5,71,20
337,32,16,106,18,19,45,10359
353,41,20,114,20,13,41,4945
324,24,12,78,4,21,49,765
317,17,6,78,6,13,45,43
328,24,10,89,12,17,75,380
315,20,11,85,10,19,31,3479
330,33,18,95,18,19,63,395.5
326,21,12,94,14,13,59,701.5
337,27,12,88,10,9,73,2143
328,22,14,84,8,13,65,1674
296,22,10,73,16,19,37,322
297,14,2,58,2,11,17,1096
290,14,5,61,6,21,27,338
309,29,13,65,12,5,39,770.5
329,28,13,92,14,13,47,426.5
329,27,10,91,12,17,51,2038.5
321,30,14,94,20,19,53,32
320,16,5,77,2,13,35,20
319,35,17,84,18,13,33,3251
351,32,20,117,20,15,71,1716
311,24,9,76,14,15,65,96
305,21,9,77,16,19,73,1921
316,16,12,73,4,15,61,2385
320,16,10,82,4,13,25,341.5
327,35,17,92,20,11,47,29
311,21,13,71,8,11,41,3133
318,30,13,85,20,9,59,63
301,17,9,70,8,13,17,374.5
335,29,13,87,10,7,49,2868
301,11,3,57,4,3,61,35
321,35,15,88,20,9,29,40
343,32,15,97,12,19,75,962
305,17,8,77,14,7,41,234
321,22,12,92,12,17,27,22
316,20,11,87,14,13,47,566
310,14,5,78,6,21,45,3874
321,26,12,79,6,15,15,154
342,18,4,103,6,21,63,21
339,37,19,96,18,3,39,2063.5
318,19,7,76,8,9,59,2093.5
330,22,8,89,12,7,69,573.5
297,23,10,65,10,17,19,566
305,17,8,64,2,19,35,710
313,32,12,77,18,7,39,22
320,22,10,76,8,15,71,420
317,17,4,72,6,5,57,2942
341,28,11,104,14,21,71,414.5
336,32,19,101,20,9,59,264
327,26,11,99,20,13,65,4316
319,23,14,88,10,19,19,113
312,21,8,62,6,7,69,19
303,23,10,55,8,3,53,426
326,22,15,88,10,17,61,689
307,29,11,77,20,5,35,927.5
312,24,13,71,14,3,65,72
346,27,14,99,8,17,65,2174
316,17,12,76,4,9,19,89
276,14,8,40,8,5,41,342
336,28,15,98,12,15,39,2280
322,30,17,88,14,21,41,2219
305,27,9,65,14,7,53,257
298,7,3,65,2,15,35,1322
322,22,14,88,10,17,37,2053.5
338,34,19,105,20,9,35,866.5
303,20,9,76,16,13,55,23
331,16,10,84,2,9,47,2607
321,31,14,76,12,9,45,1857
322,24,8,93,12,19,21,28
305,11,4,63,2,7,41,26
309,23,13,79,12,19,33,2193
303,9,4,70,4,19,55,176
318,34,13,85,20,9,35,29
286,18,5,51,8,13,35,2201.5
299,23,9,56,8,3,23,1743
317,17,8,84,8,13,29,670
329,27,14,84,10,9,49,726
304,7,3,63,2,9,65,327
292,25,13,66,20,7,41,249
318,25,15,70,10,5,67,1541.5
312,26,15,81,18,13,63,4034
