num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,execution_time,power_mW
301,20,10,59,2,17,17,0,5299.0
306,12,4,70,6,15,63,0,1831.5
330,30,11,101,20,13,47,0,5007.5
326,34,18,82,18,3,63,0,6000.0
327,31,13,88,18,9,69,0,2490.5
329,19,11,79,4,5,55,0,2697.5
324,34,17,77,14,5,47,0,6435.5
298,10,3,64,2,17,29,0,6299.5
320,15,8,89,8,17,41,0,5863.5
319,14,3,72,4,3,61,0,3796.5
309,31,18,70,16,5,37,0,10165.25
314,22,12,88,16,15,43,0,85.0
287,17,8,62,14,11,35,0,3735.5
293,12,4,58,6,11,45,0,8840.0
347,33,16,107,12,17,27,0,7503.0
315,18,8,72,6,13,63,0,2612.0
331,26,10,105,18,19,51,0,5374.5
333,38,18,97,18,19,39,0,5887.0
322,22,12,89,12,21,63,0,11880.0
305,22,12,81,16,17,37,0,5161.5
311,7,3,72,2,13,65,0,5824.0
319,22,11,72,6,9,51,0,5289.0
318,24,14,82,16,7,67,0,7159.333333333333
305,24,10,68,14,7,53,0,4556.5
321,29,11,100,20,21,29,0,2161.5
347,32,13,109,16,17,61,0,6798.75
299,18,8,78,14,19,29,0,1550.0
321,25,11,72,6,5,33,0,4891.5
310,14,7,76,8,5,29,0,4413.75
305,11,4,69,4,11,37,0,11745.0
322,36,15,86,20,11,47,0,5776.0
296,18,9,59,8,11,41,0,220.0
324,33,14,87,20,11,71,0,5573.0
304,21,8,74,14,17,59,0,5842.0
314,23,15,75,12,5,45,0,4825.5
337,17,9,93,2,17,47,0,4864.25
321,17,5,78,4,19,67,0,5977.0
302,18,5,63,4,15,25,0,5381.666666666667
316,14,4,75,2,7,17,0,4946.0
287,12,3,52,4,11,25,0,2059.5
325,17,6,98,10,21,37,0,7693.0
335,37,17,103,20,21,47,0,8228.0
318,22,11,77,6,13,27,0,493.0
331,29,14,96,12,19,27,0,4433.5
330,26,13,85,12,9,75,0,6003.5
300,25,13,65,16,5,49,0,6619.0
334,33,16,104,18,19,33,0,2176.5
301,18,8,67,8,15,35,0,3660.75
336,27,13,92,8,19,53,0,274.0
334,32,11,100,20,17,77,0,5902.0
310,31,15,73,14,11,23,0,5985.5
337,35,19,102,18,21,57,0,3849.5
311,21,10,77,12,15,57,0,2570.5
313,28,13,65,8,9,41,0,10217.0
334,31,13,90,14,3,41,0,5825.0
320,28,16,73,12,3,57,0,3571.5
334,28,12,87,10,7,49,0,1690.5
296,15,6,65,10,5,25,0,11724.0
335,21,6,94,10,11,67,0,4659.0
322,20,7,81,4,17,31,0,5552.0
329,26,13,102,16,21,43,0,5845.5
302,27,15,61,12,3,27,0,7547.0
281,9,6,42,2,3,23,0,4573.5
310,23,11,78,10,19,25,0,5892.5
305,16,7,60,2,13,47,0,6104.0
310,22,14,80,12,13,21,0,8011.0
315,22,10,72,4,15,25,0,3454.5
315,24,9,77,10,15,43,0,4177.5
298,15,11,56,4,7,37,0,6007.0
309,23,9,71,12,7,45,0,8882.5
308,18,12,71,6,9,15,0,4791.0
319,31,11,90,20,19,59,0,2103.5
305,30,14,60,12,3,33,0,4766.0
337,24,12,85,4,9,49,0,7600.5
335,21,11,94,6,17,45,0,5354.0
311,26,13,88,18,21,39,0,6067.5
279,10,3,41,2,5,17,0,3123.0
320,33,14,81,16,9,37,0,12456.0
335,30,11,111,20,17,29,0,5752.5
295,12,3,55,4,3,31,0,5195.0
319,18,11,80,8,15,65,0,2672.5
332,31,17,98,20,11,65,0,7625.5
304,16,8,64,10,3,67,0,5592.0
301,31,13,67,16,11,25,0,4686.0
323,24,11,76,6,19,69,0,3435.0
330,19,7,82,4,9,55,0,6962.5
308,17,12,59,4,7,67,0,8654.0
290,16,9,54,6,9,21,0,5634.0
305,14,6,64,4,7,37,0,4716.0
286,24,12,57,16,9,31,0,2088.0
301,24,13,71,12,17,21,0,6742.0
322,31,15,81,10,21,37,0,6012.0
307,19,10,76,12,11,39,0,2292.0
308,23,14,72,10,11,25,0,3795.5
284,13,8,49,4,11,19,0,12887.0
306,16,6,63,6,9,63,0,9845.0
321,9,4,90,4,19,43,0,9611.0
293,24,11,50,6,9,15,0,5765.0
317,21,14,84,10,13,25,0,5029.5
313,26,14,70,8,13,35,0,5860.5
339,25,10,101,12,17,63,0,6202.0
355,27,13,108,6,17,45,0,4544.333333333333
317,29,12,78,16,3,43,0,3960.0
343,35,17,106,20,13,65,0,2664.5
306,9,2,64,2,5,47,0,4272.666666666667
336,25,10,98,12,19,69,0,5986.5
316,28,14,91,18,19,33,0,5319.0
